ASV ID,Disease,Study,T.mean,P.val,Meta.significance
18d1d3003cc423b568ba5b5ccb433023,1.33E-06,0.023898533,3.21E-05,0.959479933,FALSE
1930d2ae4018583d606e705beea31bd1,0.000600269,0.043496834,1.30E-05,0.353896158,FALSE
19715b1593c19aa6d35a4d1e3cd09374,0.000599677,0.128512223,7.42E-05,0.088760727,FALSE
19da890972569b6859c360e9b4c8751e,0.077975799,0.012697661,0,5.82E-10,TRUE
1a7a9d14747af9f14fcdabdef2549a77,0.005608841,0.072368486,1.55E-05,0.175903532,FALSE
1a9df3fbbc7fc8cecec4239cf801d2fc,0.034598456,0.014780723,0.0021164,2.82E-05,TRUE
1ab75f81f06d896defe1a2a976e99bcd,0.000836772,0.02930309,0,0.445908266,FALSE
1b23e74fb43b2b8a2d20b91679cf8e0e,4.20E-06,0.009164986,0,0.815121336,FALSE
1b5d50e4ae6a2cb153f3b2ca04699419,0.007675465,0.014386194,3.60E-05,0.061586305,FALSE
1b8dec58597978264025b9eba656ffb5,0.002951423,0.046256204,0.003019915,0.338691537,FALSE
1b92901eaf73176b86069084ac8c13e3,0.006212899,0.035244005,0.000220731,0.112967177,FALSE
1bc1f0e94c2e5c3f32e5b2746769efb4,0.002502556,0.011543844,0,0.366880141,FALSE
1c4f71b06ad9d613e117b633de27a107,0.006859045,0.037726652,4.87E-05,0.201031583,FALSE
1c719e69d668107c05bdba29829217c5,0.000952207,0.078258037,9.29E-07,0.107392381,FALSE
1d3b32ffa91427afb0042949965be9d8,0.000225816,0.015545071,0,0.911139015,FALSE
1d49df56b83a383d8b998af9d148f52c,0.012110225,0.035369132,0,0.036678007,TRUE
1eaa3cb7baaac3220b0606e3621afd16,0.000152305,0.001560229,6.20E-05,0.846302474,FALSE
1f0532e025d966a685fd0d1f3144bc8a,0.081141362,0.1283364,2.21E-06,4.88E-10,TRUE
1f3d20f8f9bfb29a4ae7eaf2962cd4b4,0.006159487,0.012556011,0,0.182910068,FALSE
200c260542e42d4ba92a5ed82b43efa5,0.001445229,0.014778345,0,0.345405765,FALSE
207ae2c759c09be976bbb456d7d7eca6,0.000621303,0.035559297,0,0.767396596,FALSE
208c0c43c7c5d4a6bb549e0c8365cd21,0.004622797,0.064450296,0.000271866,0.037098374,TRUE
2102f51f3591341a5e15fb5958ee321c,0.001248707,0.096318198,0,0.056172252,FALSE
21401b105dc53b367b8fdc0ec97a9f02,1.59E-05,0.023560491,1.98E-07,0.872103495,FALSE
21c3d53a131350000f6e39601ef18415,0.000753817,0.002185814,0,0.666933819,FALSE
21dcfff18d552ae0ca669d213652bda3,9.03E-05,0.005882321,5.39E-06,0.896806243,FALSE
22424eb53c259749d0d5cf4f45d18613,0.001432815,0.01138037,0,0.477409091,FALSE
23d6e67ff377b63cc8506920f662b5a5,0.000296499,0.031720657,3.40E-06,0.737100486,FALSE
240fdca31693a4ace2c8f24a85af411a,0.000644138,0.026782021,0,0.250906921,FALSE
243a590b7a6c17e5a16dff4bc7033ac1,0.000692147,0.013242392,2.84E-05,0.456584483,FALSE
24646f903382ae52da1b45805982e09f,0.000857716,0.035177793,0.000190223,0.317649673,FALSE
